user_id,Total_Transactions,Avg_Transaction_Value,Total_Spent,Active_Days,Preferred_Payment_Method,Churn,Churn_Prediction,Churn_Probability,Risk_Category,Customer_Value_Tier,Priority_Score
cust_0017,594,19123.75202,11359508.7,310,Debit Card,0,0,0.0,Low Risk,Platinum,0.23340184096924865
cust_0018,1000,8488.952063,8488952.063,82,UPI,1,1,0.98,Critical Risk,Platinum,0.7624210151803397
cust_0019,533,5805.010886,3094070.802,296,Debit Card,0,0,0.0,Low Risk,Silver,0.06357333229349961
cust_0020,911,10641.10902,9694050.317,356,Credit Card,0,0,0.005,Low Risk,Platinum,0.2021819584975826
cust_0021,128,16026.27161,2051362.767,27,Debit Card,1,1,0.985,Critical Risk,Silver,0.6331489924395737
cust_0022,195,9500.353685,1852568.969,141,Credit Card,0,0,0.0,Low Risk,Silver,0.038064410997555115
cust_0023,194,12905.66247,2503698.52,47,Wallet Balance,1,1,1.0,Critical Risk,Silver,0.6514430561420305
cust_0024,184,10003.28861,1840605.105,112,Credit Card,0,0,0.0,Low Risk,Silver,0.03781859157380611
cust_0025,247,12629.13241,3119395.705,235,Credit Card,0,0,0.0,Low Risk,Silver,0.06409367865166275
cust_0026,873,2769.237995,2417544.769,151,Credit Card,0,0,0.0,Low Risk,Silver,0.0496728700696516
cust_0027,872,782.8810897,682672.3102,315,Wallet Balance,0,0,0.0,Low Risk,Bronze,0.014026748707838921
cust_0028,324,2746.6591,889917.5484,333,Credit Card,0,0,0.0,Low Risk,Bronze,0.018284980415341417
cust_0029,160,5723.904512,915824.7219,126,UPI,0,0,0.0,Low Risk,Bronze,0.018817290583756516
cust_0030,706,5074.587688,3582658.908,7,UPI,1,1,1.0,Critical Risk,Silver,0.6736122667604523
cust_0031,622,12307.35524,7655174.959,50,Wallet Balance,1,1,1.0,Critical Risk,Platinum,0.7572895426694195
cust_0032,925,9123.229588,8438987.369,360,Wallet Balance,0,0,0.0,Low Risk,Platinum,0.17339439934060144
cust_0033,66,785.8515007,51866.19905,66,Wallet Balance,1,1,0.98,Critical Risk,Bronze,0.5890656857318439
cust_0034,930,706.9694673,657481.6046,362,Debit Card,0,0,0.0,Low Risk,Bronze,0.013509159680211841
cust_0035,254,1820.854162,462496.9572,167,Credit Card,0,0,0.0,Low Risk,Bronze,0.009502844190185426
cust_0036,283,7068.092336,2000270.131,252,Credit Card,0,0,0.0,Low Risk,Silver,0.04109920097259138
cust_0037,60,133.5971898,8015.831386,263,Wallet Balance,0,0,0.005,Low Risk,Bronze,0.003164699887275185
cust_0038,118,9884.805436,1166407.041,196,Wallet Balance,0,0,0.0,Low Risk,Bronze,0.023965961722349303
cust_0039,423,7219.78659,3053969.727,183,UPI,0,0,0.0,Low Risk,Silver,0.06274938251036806
cust_0040,556,11113.27164,6178979.03,264,UPI,0,0,0.0,Low Risk,Gold,0.12695840277954826
cust_0041,998,14419.29631,14390457.72,288,Credit Card,0,0,0.0,Low Risk,Platinum,0.29567822103416647
cust_0042,722,5026.946581,3629455.432,275,UPI,0,0,0.0,Low Risk,Silver,0.07457378676461947
cust_0043,36,3150.102116,113403.6762,118,UPI,0,0,0.005,Low Risk,Bronze,0.005330085525420705
cust_0044,531,5568.290584,2956762.3,313,Credit Card,0,0,0.0,Low Risk,Silver,0.06075207848808372
cust_0045,91,45.24600722,4117.386657,347,Wallet Balance,0,0,0.01,Low Risk,Bronze,0.00608459922441241
cust_0046,301,2409.058981,725126.7533,277,Wallet Balance,0,0,0.0,Low Risk,Bronze,0.014899052734232619
cust_0047,724,15019.09897,10873827.65,132,Credit Card,0,0,0.0,Low Risk,Platinum,0.22342263727412073
cust_0048,917,4463.90878,4093404.351,147,Wallet Balance,0,0,0.0,Low Risk,Gold,0.08410646416027945
cust_0049,919,19886.04968,18275279.66,29,Wallet Balance,1,1,0.94,Critical Risk,Platinum,0.9394989788310003
cust_0050,734,3364.952112,2469874.85,327,Credit Card,0,0,0.0,Low Risk,Silver,0.050748087102890894
cust_0051,217,15777.54659,3423727.611,320,Debit Card,0,0,0.0,Low Risk,Silver,0.07034673316326151
cust_0052,735,14103.83899,10366321.66,225,Wallet Balance,0,0,0.0,Low Risk,Platinum,0.21299500034921387
cust_0053,923,6449.421535,5952816.077,139,Credit Card,0,0,0.0,Low Risk,Gold,0.12231147209061433
cust_0054,98,6621.47548,648904.597,289,Debit Card,0,0,0.0,Low Risk,Bronze,0.013332929403294386
cust_0055,456,11275.3961,5141580.623,281,UPI,0,0,0.0,Low Risk,Gold,0.10564315892464754
cust_0056,531,17048.95821,9052996.809,26,Wallet Balance,1,1,0.985,Critical Risk,Platinum,0.7770103440485356
cust_0057,809,7729.877013,6253470.503,292,Credit Card,0,0,0.0,Low Risk,Gold,0.12848896606303875
cust_0058,538,1232.98582,663346.3709,267,UPI,0,0,0.005,Low Risk,Bronze,0.016629662008915053
cust_0059,28,7494.639346,209849.9017,286,UPI,0,0,0.0,Low Risk,Bronze,0.004311749273451929
cust_0060,576,4154.180338,2392807.875,313,Debit Card,0,0,0.0,Low Risk,Silver,0.049164605429697486
cust_0061,324,18784.74827,6086258.44,97,Credit Card,0,0,0.01,Low Risk,Gold,0.13105328901333801
cust_0062,223,13948.51418,3110518.663,138,Debit Card,0,0,0.0,Low Risk,Silver,0.0639112836203388
cust_0063,80,1026.144958,82091.59661,281,UPI,0,0,0.0,Low Risk,Bronze,0.0016867216957084535
cust_0064,563,5866.84086,3303031.404,96,Wallet Balance,0,0,0.005,Low Risk,Silver,0.07086680928135934
cust_0065,458,1013.817139,464328.2496,57,Debit Card,1,1,1.0,Critical Risk,Bronze,0.6095404714352364
cust_0066,614,16602.03324,10193648.41,123,Credit Card,0,0,0.0,Low Risk,Platinum,0.2094471132441894
cust_0067,176,18126.86507,3190328.253,231,Credit Card,0,0,0.0,Low Risk,Silver,0.06555111732485464
cust_0068,522,2254.469321,1176832.985,290,UPI,0,0,0.005,Low Risk,Bronze,0.02718018177250361
cust_0069,749,8811.39802,6599737.117,86,Credit Card,1,1,1.0,Critical Risk,Gold,0.7356036456947193
cust_0070,457,18638.3468,8517724.489,310,Debit Card,0,0,0.0,Low Risk,Platinum,0.17501219719136735
cust_0071,423,2912.781617,1232106.624,51,Debit Card,1,1,1.0,Critical Risk,Bronze,0.6253158795777854
cust_0072,100,5845.152777,584515.2777,228,Wallet Balance,0,0,0.0,Low Risk,Bronze,0.012009933307224073
cust_0073,890,6092.450257,5422280.729,6,UPI,1,1,1.0,Critical Risk,Gold,0.7114106549696713
cust_0074,740,610.8656609,452040.5891,310,UPI,0,0,0.005,Low Risk,Bronze,0.01228799902136293
cust_0075,403,735.1019615,296246.0905,273,Debit Card,0,0,0.0,Low Risk,Bronze,0.0060869166729581045
cust_0076,576,19056.32861,10976445.28,344,UPI,0,0,0.0,Low Risk,Platinum,0.22553110379238672
cust_0077,380,11426.14125,4341933.676,2,Debit Card,1,1,0.98,Critical Risk,Gold,0.6772129527877184
cust_0078,531,6139.899945,3260286.871,276,Debit Card,0,0,0.0,Low Risk,Silver,0.06698854482846352
cust_0079,332,7579.706468,2516462.547,91,Wallet Balance,1,1,1.0,Critical Risk,Silver,0.6517053163751672
cust_0080,318,14299.71015,4547307.827,262,Debit Card,0,0,0.0,Low Risk,Gold,0.09343273959336584
cust_0081,653,7336.678899,4790851.321,242,Debit Card,0,0,0.0,Low Risk,Gold,0.09843678522217753
cust_0082,537,4562.930458,2450293.656,246,Wallet Balance,0,0,0.01,Low Risk,Silver,0.05634575573023425
cust_0083,740,2045.728459,1513839.059,79,UPI,1,1,0.99,Critical Risk,Silver,0.625104586706444
cust_0084,89,14581.3709,1297742.01,311,Debit Card,0,0,0.005,Low Risk,Bronze,0.02966447838867654
cust_0085,604,3619.494683,2186174.789,304,Credit Card,0,0,0.005,Low Risk,Silver,0.047918951506517066
cust_0086,511,1402.268916,716559.416,58,Wallet Balance,1,1,1.0,Critical Risk,Bronze,0.61472302115128
cust_0087,42,8544.819365,358882.4133,225,UPI,0,0,0.005,Low Risk,Bronze,0.010373894256157996
cust_0088,885,801.0235266,708905.821,202,Wallet Balance,0,0,0.005,Low Risk,Bronze,0.01756576407175221
cust_0089,807,19300.31119,15575351.13,6,Debit Card,1,1,0.98,Critical Risk,Platinum,0.9080240189511424
cust_0090,926,12549.58642,11620917.03,30,UPI,1,1,0.98,Critical Risk,Platinum,0.826772952262706
cust_0091,389,3062.409241,1191277.195,151,Credit Card,0,0,0.01,Low Risk,Bronze,0.030476964432245443
cust_0092,81,3457.357188,280045.9322,36,Wallet Balance,1,1,1.0,Critical Risk,Bronze,0.6057540548502268
cust_0093,402,11400.87132,4583150.271,110,Credit Card,0,0,0.01,Low Risk,Gold,0.10016918802924205
cust_0094,107,7137.749489,763739.1953,121,Wallet Balance,0,0,0.0,Low Risk,Bronze,0.015692415835148976
cust_0095,111,15487.59222,1719122.736,241,Debit Card,0,0,0.005,Low Risk,Silver,0.03832251455861746
cust_0096,277,10920.67165,3025026.046,259,Wallet Balance,0,0,0.0,Low Risk,Silver,0.062154681752770446
cust_0097,214,8672.344172,1855881.653,90,Credit Card,1,1,0.995,Critical Risk,Silver,0.6351324761370404
cust_0098,743,19259.97516,14310161.54,30,Wallet Balance,1,1,0.985,Critical Risk,Platinum,0.8850283894499186
cust_0099,818,7820.673834,6397311.196,237,Debit Card,0,0,0.0,Low Risk,Gold,0.13144443565588237
cust_0100,506,8018.212367,4057215.458,170,Debit Card,0,0,0.0,Low Risk,Gold,0.08336289729731827
cust_0101,121,13318.7907,1611573.674,149,Wallet Balance,0,0,0.0,Low Risk,Silver,0.03311272276847465
cust_0102,134,16191.4769,2169657.904,88,UPI,1,1,0.995,Critical Risk,Silver,0.641579581955607
cust_0103,818,12528.03767,10247934.81,4,Debit Card,1,1,0.99,Critical Risk,Platinum,0.8045625264221901
cust_0104,720,13975.21834,10062157.2,252,Wallet Balance,0,0,0.0,Low Risk,Platinum,0.20674538632132747
cust_0105,962,7464.902056,7181235.778,51,Debit Card,1,1,1.0,Critical Risk,Gold,0.747551597105554
cust_0106,371,9595.141761,3559797.593,24,Debit Card,1,1,1.0,Critical Risk,Silver,0.6731425393145832
cust_0107,257,3948.731378,1014823.964,46,Debit Card,1,1,1.0,Critical Risk,Bronze,0.6208514107179046
cust_0108,697,13608.12735,9484864.762,116,Debit Card,0,0,0.0,Low Risk,Platinum,0.1948838594397269
cust_0109,798,4436.824289,3540585.783,27,Debit Card,1,1,1.0,Critical Risk,Silver,0.6727477976104502
cust_0110,954,35.12333992,33507.66629,95,Debit Card,0,0,0.01,Low Risk,Bronze,0.006688476166110004
cust_0111,875,18675.90477,16341416.68,99,UPI,0,0,0.01,Low Risk,Platinum,0.3417642339899425
cust_0112,180,6127.244672,1102904.041,116,UPI,0,0,0.005,Low Risk,Bronze,0.025661176674113002
cust_0113,933,3940.674529,3676649.335,276,Debit Card,0,0,0.0,Low Risk,Silver,0.07554347164568516
cust_0114,48,5370.253152,257772.1513,336,UPI,0,0,0.0,Low Risk,Bronze,0.005296399364879549
cust_0115,599,6615.649475,3962774.036,95,Debit Card,0,0,0.0,Low Risk,Gold,0.08142242589660059
cust_0116,897,9496.183065,8518076.209,199,Debit Card,0,0,0.0,Low Risk,Platinum,0.17501942392076858
cust_0117,19,1396.339904,26530.45817,146,Wallet Balance,0,0,0.005,Low Risk,Bronze,0.003545116689653633
cust_0118,46,1062.936393,48895.07406,155,Credit Card,0,0,0.0,Low Risk,Bronze,0.001004638545673349
cust_0119,451,5865.286203,2645244.078,270,UPI,0,0,0.0,Low Risk,Silver,0.0543513679969454
cust_0120,898,5922.364963,5318283.736,321,Credit Card,0,0,0.0,Low Risk,Gold,0.10927384692079277
cust_0121,56,2361.748094,132257.8933,276,Debit Card,0,0,0.01,Low Risk,Bronze,0.008717479830702049
cust_0122,741,8101.78397,6003421.922,326,Wallet Balance,0,0,0.0,Low Risk,Gold,0.1233512615479528
cust_0123,657,5687.733077,3736840.632,256,Debit Card,0,0,0.0,Low Risk,Silver,0.07678021171087185
cust_0124,92,530.8505004,48838.24603,45,Debit Card,1,1,0.995,Critical Risk,Bronze,0.5980034709100677
cust_0125,82,17715.5584,1452675.789,1,Wallet Balance,1,1,1.0,Critical Risk,Silver,0.6298478756818114
cust_0126,737,17721.52017,13060760.37,147,Wallet Balance,0,0,0.0,Low Risk,Platinum,0.2683571618564987
cust_0127,79,4191.553236,331132.7056,295,UPI,0,0,0.005,Low Risk,Bronze,0.009803725859391106
cust_0128,662,3265.815841,2161970.087,155,Wallet Balance,0,0,0.0,Low Risk,Silver,0.04442162172262315
cust_0129,873,10950.38236,9559683.8,56,UPI,1,1,1.0,Critical Risk,Platinum,0.796421153144053
cust_0130,283,12618.76252,3571109.794,226,UPI,0,0,0.0,Low Risk,Silver,0.07337496913250434
cust_0131,311,19151.27572,5956046.75,7,UPI,1,1,0.995,Critical Risk,Gold,0.7193778521644083
cust_0132,997,7553.195648,7530536.061,20,Credit Card,1,1,0.98,Critical Risk,Gold,0.7427286090042533
cust_0133,160,12367.82485,1978851.977,159,Credit Card,0,0,0.0,Low Risk,Silver,0.040659125903696636
cust_0134,316,17564.83911,5550489.157,340,UPI,0,0,0.005,Low Risk,Gold,0.11704493114421868
cust_0135,877,9004.576178,7897013.308,79,UPI,1,1,1.0,Critical Risk,Platinum,0.7622585529817726
cust_0136,979,2455.691566,2404122.043,1,Credit Card,1,1,0.995,Critical Risk,Silver,0.646397075663224
cust_0137,668,7555.171244,5046854.391,336,UPI,0,0,0.0,Low Risk,Gold,0.10369683558261074
cust_0138,156,2739.972865,427435.7669,229,Debit Card,0,0,0.0,Low Risk,Bronze,0.008782448037612986
cust_0139,888,342.6228894,304249.1258,213,Debit Card,0,0,0.01,Low Risk,Bronze,0.01225135364128948
cust_0140,714,15033.5456,10733951.56,283,Wallet Balance,0,0,0.0,Low Risk,Platinum,0.22054862768657757
cust_0141,468,4776.089773,2235210.014,248,UPI,0,0,0.0,Low Risk,Silver,0.0459264697090729
cust_0142,921,50.12084632,46161.29946,119,UPI,0,0,0.0,Low Risk,Bronze,0.0009484681565054645
cust_0143,853,17449.92283,14884784.17,227,Debit Card,0,0,0.005,Low Risk,Platinum,0.3088350602529078
cust_0144,462,8881.338881,4103178.563,24,UPI,1,1,1.0,Critical Risk,Gold,0.6843072931868749
cust_0145,854,4784.808994,4086226.881,190,Debit Card,0,0,0.0,Low Risk,Gold,0.08395898993795664
cust_0146,117,5263.171547,615791.071,308,Debit Card,0,0,0.0,Low Risk,Bronze,0.012652551568874217
cust_0147,666,4818.352487,3209022.756,307,UPI,0,0,0.0,Low Risk,Silver,0.06593523001242228
cust_0148,364,3899.177662,1419300.669,57,UPI,1,1,0.99,Critical Risk,Silver,0.6231621229211688
cust_0149,843,16826.11223,14184412.61,311,Debit Card,0,0,0.0,Low Risk,Platinum,0.29144464815114984
cust_0150,631,3414.929371,2154820.433,309,UPI,0,0,0.0,Low Risk,Silver,0.04427471903079344
cust_0151,711,11241.47513,7992688.818,89,UPI,1,1,0.995,Critical Risk,Platinum,0.7612243809730546
cust_0152,913,1555.631691,1420291.734,275,Credit Card,0,0,0.005,Low Risk,Silver,0.03218248616060362
cust_0153,466,18990.93231,8849774.456,109,Credit Card,0,0,0.0,Low Risk,Platinum,0.18183476986051617
cust_0154,775,12070.24495,9354439.836,141,Debit Card,0,0,0.0,Low Risk,Platinum,0.19220404126795346
cust_0155,184,18064.0187,3323779.441,285,Debit Card,0,0,0.01,Low Risk,Silver,0.07429311557331175
cust_0156,960,7963.576812,7645033.739,244,Wallet Balance,0,0,0.0,Low Risk,Gold,0.15708117279355738
cust_0157,660,16215.33441,10702120.71,74,Wallet Balance,1,1,1.0,Critical Risk,Platinum,0.8198946047718704
cust_0158,166,17074.55304,2834375.805,355,Debit Card,0,0,0.005,Low Risk,Silver,0.061237424553906655
cust_0159,75,14061.95633,1054646.725,262,Credit Card,0,0,0.0,Low Risk,Bronze,0.021669642031894296
cust_0160,748,1868.019854,1397278.851,176,Debit Card,0,0,0.0,Low Risk,Silver,0.02870964447351464
cust_0161,826,331.4409273,273770.2059,230,Debit Card,0,0,0.015,Low Risk,Bronze,0.014625108598190542
cust_0162,272,3379.507844,919226.1337,76,Credit Card,1,1,1.0,Critical Risk,Bronze,0.6188871787978493
cust_0163,691,2370.754172,1638191.133,323,Wallet Balance,0,0,0.0,Low Risk,Silver,0.0336596270489849
cust_0164,503,14505.50191,7296267.459,183,Debit Card,0,0,0.0,Low Risk,Gold,0.1499151329612188
cust_0165,795,11144.56635,8859930.245,274,Wallet Balance,0,0,0.0,Low Risk,Platinum,0.18204343908307638
cust_0166,563,10523.75778,5924875.631,277,UPI,0,0,0.0,Low Risk,Gold,0.1217373846273157
cust_0167,587,5064.817334,2973047.775,227,Credit Card,0,0,0.0,Low Risk,Silver,0.061086693298146644
cust_0168,656,3100.604659,2033996.657,165,Debit Card,0,0,0.0,Low Risk,Silver,0.04179217401093213
cust_0169,343,4138.893916,1419640.613,275,Debit Card,0,0,0.0,Low Risk,Silver,0.029169107691155046
cust_0170,700,8011.537378,5608076.165,217,Wallet Balance,0,0,0.0,Low Risk,Gold,0.11522816133824204
cust_0171,635,14805.4627,9401468.817,312,UPI,0,0,0.0,Low Risk,Platinum,0.1931703375254939
cust_0172,844,5097.787165,4302532.367,190,Credit Card,0,0,0.0,Low Risk,Gold,0.08840338097435313
cust_0173,251,13975.2739,3507793.748,18,UPI,1,1,0.985,Critical Risk,Silver,0.6630740253954487
cust_0174,808,9835.32129,7946939.602,232,UPI,0,0,0.01,Low Risk,Platinum,0.16928437982341862
cust_0175,835,17709.96256,14787818.74,184,Debit Card,0,0,0.0,Low Risk,Platinum,0.30384272850071015
cust_0176,130,4665.962072,606575.0694,106,Wallet Balance,0,0,0.005,Low Risk,Bronze,0.015463191993858833
cust_0177,764,9022.625086,6893285.565,243,Wallet Balance,0,0,0.0,Low Risk,Gold,0.14163513437845665
cust_0178,358,1942.328696,695353.673,53,Debit Card,1,1,1.0,Critical Risk,Bronze,0.6142873104540981
cust_0179,944,6709.711321,6333967.487,226,Debit Card,0,0,0.0,Low Risk,Gold,0.13014292353199794
cust_0180,692,10142.54008,7018637.733,202,UPI,0,0,0.0,Low Risk,Gold,0.14421072347771818
cust_0181,408,14657.47688,5980250.569,86,Wallet Balance,1,1,1.0,Critical Risk,Gold,0.7228751638054555
cust_0182,861,3969.56163,3417792.563,50,Credit Card,1,1,0.995,Critical Risk,Silver,0.6672247867687453
cust_0183,495,4369.661647,2162982.515,260,Debit Card,0,0,0.0,Low Risk,Silver,0.04444242390388728
cust_0184,622,12635.24103,7859119.922,319,UPI,0,0,0.0,Low Risk,Platinum,0.16147996419888283
cust_0185,482,7655.331091,3689869.586,195,Wallet Balance,0,0,0.0,Low Risk,Silver,0.0758151058336563
cust_0186,980,9647.076396,9454134.868,248,Debit Card,0,0,0.0,Low Risk,Platinum,0.19425245767563565
cust_0187,850,16724.33603,14215685.62,56,UPI,1,1,0.975,Critical Risk,Platinum,0.877087209224821
cust_0188,78,9986.675188,778960.6647,177,Wallet Balance,0,0,0.0,Low Risk,Bronze,0.0160051687080102
cust_0189,978,13053.46262,12766286.44,150,Credit Card,0,0,0.0,Low Risk,Platinum,0.2623066574557715
cust_0190,514,13138.93308,6753411.605,13,UPI,1,1,1.0,Critical Risk,Gold,0.7387611685556514
cust_0191,321,16074.20274,5159819.079,361,Credit Card,0,0,0.0,Low Risk,Gold,0.10601790129416891
cust_0192,788,12766.40837,10059929.8,289,UPI,0,0,0.0,Low Risk,Platinum,0.20669962032261183
cust_0193,290,1305.548415,378609.0403,64,Credit Card,1,1,1.0,Critical Risk,Bronze,0.6077792138152612
cust_0194,297,6850.037924,2034461.263,339,Wallet Balance,0,0,0.0,Low Risk,Silver,0.04180172018925632
cust_0195,681,19786.43051,13474559.18,105,Credit Card,0,0,0.005,Low Risk,Platinum,0.2798594137228039
cust_0196,752,3938.240673,2961556.986,239,Credit Card,0,0,0.0,Low Risk,Silver,0.06085059406378547
cust_0197,971,11738.71428,11398291.56,34,Credit Card,1,1,0.995,Critical Risk,Platinum,0.8311987056190422
cust_0198,475,16860.38339,8008682.111,324,Wallet Balance,0,0,0.005,Low Risk,Platinum,0.16755299237060214
cust_0199,23,11735.30563,269912.0295,39,Debit Card,1,1,0.985,Critical Risk,Bronze,0.5965458353216496
cust_0200,806,7451.68246,6006056.063,225,Debit Card,0,0,0.0,Low Risk,Gold,0.12340538478294556
cust_0201,172,1613.768969,277568.2626,129,UPI,0,0,0.005,Low Risk,Bronze,0.00870314660575733
cust_0202,835,7239.681402,6045133.97,133,Debit Card,0,0,0.005,Low Risk,Gold,0.12720831171190905
cust_0203,318,3649.529556,1160550.399,40,Credit Card,1,1,1.0,Critical Risk,Bronze,0.623845626322219
cust_0204,908,19217.6477,17449624.11,319,Wallet Balance,0,0,0.005,Low Risk,Platinum,0.3615343784714375
cust_0205,798,14303.48651,11414182.24,221,Debit Card,0,0,0.0,Low Risk,Platinum,0.23452520864520335
cust_0206,991,14990.16926,14855257.73,94,Wallet Balance,0,0,0.0,Low Risk,Platinum,0.3052283856479341
cust_0207,855,8725.025627,7459896.911,99,Credit Card,0,0,0.005,Low Risk,Gold,0.15627719872851645
cust_0208,193,2208.196914,426182.0045,60,Debit Card,1,1,1.0,Critical Risk,Bronze,0.6087566872005885
cust_0209,681,5341.662558,3637672.202,129,UPI,0,0,0.0,Low Risk,Silver,0.07474261530249636
cust_0210,916,5201.62497,4764688.473,132,UPI,0,0,0.0,Low Risk,Gold,0.09789922175447238
cust_0211,118,9740.719223,1149404.868,301,Credit Card,0,0,0.0,Low Risk,Bronze,0.023616621043673857
cust_0212,6,9224.985936,55349.91562,69,Wallet Balance,1,1,0.975,Critical Risk,Bronze,0.5861372650476688
cust_0213,843,8673.830265,7312038.914,14,Credit Card,1,1,1.0,Critical Risk,Gold,0.7502391862921313
cust_0214,483,9924.589559,4793576.757,151,Debit Card,0,0,0.0,Low Risk,Gold,0.0984927842795878
cust_0215,132,19740.59141,2605758.066,174,Wallet Balance,0,0,0.005,Low Risk,Silver,0.05654005580583507
cust_0216,93,5974.089077,555590.2841,345,Wallet Balance,0,0,0.0,Low Risk,Bronze,0.01141561651636993
cust_0217,763,12309.23052,9391942.883,292,Wallet Balance,0,0,0.0,Low Risk,Platinum,0.192974609823595
cust_0218,522,4797.759803,2504430.617,196,Wallet Balance,0,0,0.005,Low Risk,Silver,0.05445809841120606
cust_0219,563,9337.459256,5256989.561,32,Debit Card,1,1,0.995,Critical Risk,Gold,0.7050144462139918
cust_0220,861,4008.984171,3451735.371,73,Wallet Balance,1,1,1.0,Critical Risk,Silver,0.6709222037155597
cust_0221,294,11168.26278,3283469.258,194,Wallet Balance,0,0,0.0,Low Risk,Silver,0.06746486928463137
cust_0222,641,5307.585612,3402162.377,50,Credit Card,1,1,0.99,Critical Risk,Silver,0.6639036360672989
cust_0223,1000,745.4104452,745410.4452,57,UPI,1,1,0.985,Critical Risk,Bronze,0.6063158182085275
cust_0224,392,16307.26912,6392449.494,117,Wallet Balance,0,0,0.0,Low Risk,Gold,0.13134454311413504
cust_0225,249,2573.819691,640881.1031,192,UPI,0,0,0.005,Low Risk,Bronze,0.01616807207568254
cust_0226,614,7367.095594,4523396.695,217,Wallet Balance,0,0,0.0,Low Risk,Gold,0.09294144174098085
cust_0227,849,9548.780406,8106914.565,111,Wallet Balance,0,0,0.0,Low Risk,Platinum,0.16657135744360282
cust_0228,595,8655.275208,5149888.749,89,Credit Card,1,1,1.0,Critical Risk,Gold,0.7058138645382983
cust_0229,703,14516.05862,10204789.21,360,UPI,0,0,0.0,Low Risk,Platinum,0.20967602131570398
cust_0230,417,11939.56415,4978798.252,310,Credit Card,0,0,0.005,Low Risk,Gold,0.10529849798268805
cust_0231,143,5914.469942,845769.2018,309,Debit Card,0,0,0.0,Low Risk,Bronze,0.01737787204962588
cust_0232,237,1043.542967,247319.6831,157,UPI,0,0,0.0,Low Risk,Bronze,0.005081634326621114
cust_0233,287,15354.22641,4406662.981,69,UPI,1,1,0.995,Critical Risk,Gold,0.6875429345105777
cust_0234,277,7057.017262,1954793.782,270,Credit Card,0,0,0.0,Low Risk,Silver,0.04016480637353974
cust_0235,387,17795.59757,6886896.261,225,Wallet Balance,0,0,0.0,Low Risk,Gold,0.14150385446525826
cust_0236,382,7907.184904,3020544.633,5,Wallet Balance,1,1,1.0,Critical Risk,Silver,0.6620626029426768
cust_0237,450,14355.99554,6460197.992,243,Debit Card,0,0,0.0,Low Risk,Gold,0.13273655966816975
cust_0238,291,18791.89842,5468442.44,118,Wallet Balance,0,0,0.0,Low Risk,Gold,0.1123591315820173
cust_0239,169,13026.53749,2201484.836,172,UPI,0,0,0.0,Low Risk,Silver,0.04523352436785268
cust_0240,443,8275.643379,3666110.017,143,UPI,0,0,0.0,Low Risk,Silver,0.07532692211975713
cust_0241,656,11352.31138,7447116.267,323,Debit Card,0,0,0.0,Low Risk,Gold,0.15301459706878334
cust_0242,184,10873.46932,2000718.355,257,Debit Card,0,0,0.005,Low Risk,Silver,0.04410841055282319
cust_0243,45,11700.55253,526524.864,365,Credit Card,0,0,0.0,Low Risk,Bronze,0.010818414406750115
cust_0244,755,2944.931513,2223423.292,318,UPI,0,0,0.0,Low Risk,Silver,0.04568428999105457
cust_0245,827,13973.21255,11555846.78,78,UPI,1,1,0.98,Critical Risk,Platinum,0.8254359652024884
cust_0246,946,2909.415001,2752306.591,57,Debit Card,1,1,0.995,Critical Risk,Silver,0.653551162749776
cust_0247,981,302.1915175,296449.8787,20,Debit Card,1,1,0.98,Critical Risk,Bronze,0.5940911038735056
